# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 6f53c942a634cd28729b86faad146a950ebd5d0fa6c6b28a45c3ede1acecb565
# retrieved: 2026-08-24T22:47:57Z
iata,name,latitude_deg,longitude_deg,iso_country,municipality,type,scheduled_service
EDO,Balıkesir Koca Seyit Airport,39.552533,27.010192,TR,Edremit,large_airport,yes
EDR,Pormpuraaw Airport,-14.896451,141.609080,AU,Pormpuraaw,small_airport,yes
EEK,Eek Airport,60.213173,-162.044048,US,Eek,small_airport,yes
EFL,Kefallinia Airport,38.120098,20.500500,GR,Kefallinia Island,medium_airport,yes
EGC,Bergerac Dordogne-Périgord airport,44.825298,0.518611,FR,Bergerac,medium_airport,yes
EGE,Eagle County Regional Airport,39.642601,-106.917999,US,Eagle,medium_airport,yes
EGS,Egilsstaðir Airport,65.283302,-14.401400,IS,Egilsstaðir,medium_airport,yes
EGX,Egegik Airport,58.184386,-157.374873,US,Egegik,medium_airport,yes
EHU,Ezhou Huahu International Airport,30.341178,115.039260,CN,Ezhou,large_airport,yes
EIE,Yeniseysk Airport,58.474201,92.112503,RU,Yeniseysk,medium_airport,yes
EIN,Eindhoven Airport,51.450100,5.374530,NL,Eindhoven,large_airport,yes
EIS,Terrance B. Lettsome International Airport,18.445492,-64.541707,VG,Beef Island,large_airport,yes
EJA,Yariguíes Airport,7.024330,-73.806800,CO,Barrancabermeja,medium_airport,yes
EJH,Al Wajh Domestic Airport,26.198601,36.476398,SA,Al Wajh,medium_airport,yes
EJT,Enejit Airport,6.040400,171.984600,MH,Enejit Island,small_airport,yes
EKO,Elko Regional Airport,40.824902,-115.792000,US,Elko,medium_airport,yes
EKS,Shakhtyorsk Airport,49.190300,142.082993,RU,Shakhtyorsk,small_airport,yes
ELC,Elcho Island Airport,-12.019400,135.570999,AU,Elcho Island,medium_airport,yes
ELD,South Arkansas Regional Airport at Goodwin Field,33.221001,-92.813301,US,El Dorado,medium_airport,yes
ELF,El Fasher Airport,13.614900,25.324600,SD,El Fasher,medium_airport,yes
ELG,El Golea Airport,30.580732,2.861595,DZ,El Menia,medium_airport,yes
ELH,North Eleuthera Airport,25.475823,-76.680784,BS,North Eleuthera,medium_airport,yes
ELI,Elim Airport,64.614700,-162.272003,US,Elim,small_airport,yes
ELM,Elmira Corning Regional Airport,42.159901,-76.891602,US,Elmira/Corning,medium_airport,yes
ELP,El Paso International Airport,31.809908,-106.375607,US,El Paso,large_airport,yes
ELQ,Prince Naif bin Abdulaziz International Airport,26.302799,43.774399,SA,Qassim,large_airport,yes
ELS,King Phalo Airport,-33.035599,27.825899,ZA,East London,large_airport,yes
ELU,Guemar Airport - مطار قمار بالوادي,33.511398,6.776790,DZ,Guemar,medium_airport,yes
EMA,East Midlands Airport,52.831100,-1.328060,GB,"Nottingham, Leicestershire",large_airport,yes
EMD,Emerald Airport,-23.567499,148.179001,AU,Emerald,medium_airport,yes
EME,Emden Airport,53.391109,7.227500,DE,Emden,small_airport,yes
EMK,Emmonak Airport,62.786098,-164.490997,US,Emmonak,medium_airport,yes
ENA,Kenai Municipal Airport,60.570946,-151.245174,US,Kenai,medium_airport,yes
ENE,H. Hasan Aroeboesman (Ende) Airport,-8.849114,121.661010,ID,Ende,small_airport,yes
ENF,Enontekio Airport,68.362602,23.424299,FI,Enontekio,medium_airport,yes
ENH,Enshi Xujiaping Airport,30.320299,109.485001,CN,Enshi (Enshi),medium_airport,yes
ENI,El Nido Airport,11.202399,119.416087,PH,El Nido,small_airport,yes
ENO,Teniente Ramon A. Ayub Gonzalez International Airport,-27.227537,-55.837584,PY,Encarnación,large_airport,yes
ENT,Eniwetok Airport,11.340700,162.328003,MH,Eniwetok Atoll,small_airport,yes
ENU,Akanu Ibiam International Airport,6.473718,7.560463,NG,Enegu,large_airport,yes
ENY,Yan'an Nanniwan Airport,36.479413,109.464083,CN,Yan'an (Baota),medium_airport,yes
EOH,Enrique Olaya Herrera Airport,6.219686,-75.590597,CO,Medellín,medium_airport,yes
EOI,Eday Airport,59.190601,-2.772220,GB,Eday,medium_airport,yes
EPR,Esperance Airport,-33.684399,121.822998,AU,Esperance,medium_airport,yes
EPU,Pärnu Airport,58.418999,24.472799,EE,Pärnu,medium_airport,yes
EQS,Esquel Brigadier Antonio Parodi International Airport,-42.908001,-71.139503,AR,Esquel,medium_airport,yes
ERC,Erzincan Airport,39.710201,39.527000,TR,Erzincan,medium_airport,yes
ERF,Erfurt-Weimar Airport,50.978281,10.960713,DE,Erfurt,large_airport,yes
ERH,Moulay Ali Cherif Airport,31.947500,-4.398330,MA,Errachidia,medium_airport,yes
ERI,Erie International Tom Ridge Field,42.083127,-80.173867,US,Erie,medium_airport,yes
ERL,Erenhot Saiwusu International Airport,43.424079,112.091081,CN,Erenhot,medium_airport,yes
ERS,Eros Airport,-22.604920,17.079002,NA,Windhoek,medium_airport,yes
ERZ,Erzurum International Airport,39.956501,41.170200,TR,Erzurum,medium_airport,yes
ESB,Esenboğa International Airport,40.128101,32.995098,TR,Ankara,large_airport,yes
ESC,Delta County Airport,45.723199,-87.088623,US,Escanaba,medium_airport,yes
ESD,Orcas Island Airport,48.708199,-122.910004,US,Eastsound,medium_airport,yes
ESL,Elista Airport,46.373901,44.330898,RU,Elista,medium_airport,yes
ESM,Carlos Concha Torres International Airport,0.978519,-79.626602,EC,Tachina,large_airport,yes
ESR,Ricardo García Posada Airport,-26.311100,-69.765198,CL,El Salvador,medium_airport,yes
ESU,Essaouira-Mogador Airport,31.397499,-9.681670,MA,Essaouira,medium_airport,yes
ETM,Ramon International Airport,29.727009,35.014116,IL,Eilat,large_airport,yes
ETR,Santa Rosa - Artillery Colonel Victor Larrea International Airport,-3.441986,-79.996957,EC,Santa Rosa,medium_airport,yes
ETZ,Metz-Nancy-Lorraine Airport,48.982101,6.251320,FR,Goin,medium_airport,yes
EUA,Kaufana Airport,-21.378300,-174.957993,TO,Eua Island,small_airport,yes
EUG,Eugene Airport,44.124599,-123.211998,US,Eugene,medium_airport,yes
EUN,Laayoune Hassan I International Airport,27.142467,-13.224947,EH,El Aaiún,large_airport,yes
EUX,F. D. Roosevelt Airport,17.496500,-62.979401,BQ,Oranjestad,medium_airport,yes
EVE,Harstad/Narvik Airport,68.491302,16.678101,NO,Evenes,large_airport,yes
EVG,Sveg Airport,62.047798,14.422900,SE,Sveg,small_airport,yes
EVN,Zvartnots International Airport,40.148941,44.397887,AM,Yerevan,large_airport,yes
EVV,Evansville Regional Airport,38.036999,-87.532402,US,Evansville,medium_airport,yes
EWB,New Bedford Regional Airport,41.676102,-70.956902,US,New Bedford,medium_airport,yes
EWN,Coastal Carolina Regional Airport,35.073002,-77.042900,US,New Bern,medium_airport,yes
EWR,Newark Liberty International Airport,40.689400,-74.170545,US,Newark,large_airport,yes
EXT,Exeter International Airport,50.734261,-3.413984,GB,"Exeter, Devon",medium_airport,yes
EYK,Beloyarskiy Airport,63.686901,66.698601,RU,,medium_airport,yes
EYP,El Alcaravan - Yopal Airport,5.319110,-72.384000,CO,Yopal,medium_airport,yes
EYW,Key West International Airport,24.556119,-81.759579,US,Key West,medium_airport,yes
EZE,Ezeiza International Airport - Ministro Pistarini,-34.822200,-58.535800,AR,Buenos Aires (Ezeiza),large_airport,yes
EZS,Elazığ Airport,38.597974,39.283480,TR,Elazığ,medium_airport,yes
FAE,Vágar Airport,62.063256,-7.275782,FO,Vágar,large_airport,yes
FAI,Fairbanks International Airport,64.815102,-147.856003,US,Fairbanks,medium_airport,yes
FAO,Faro - Gago Coutinho International Airport,37.015909,-7.970939,PT,Faro,large_airport,yes
FAR,Hector International Airport,46.920700,-96.815804,US,Fargo,medium_airport,yes
FAT,Fresno Yosemite International Airport,36.775767,-119.718018,US,Fresno,large_airport,yes
FAV,Fakarava Airport,-16.054100,-145.656998,PF,,medium_airport,yes
FAY,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,US,Fayetteville,medium_airport,yes
FBD,Fayzabad Airport,37.122148,70.520100,AF,Fayzabad,small_airport,yes
FBE,Paulo Abdala Airport,-26.059380,-53.063827,BR,Francisco Beltrão,small_airport,yes
FBM,Lubumbashi International Airport,-11.591494,27.530753,CD,Lubumbashi,large_airport,yes
FCA,Glacier Park International Airport,48.310501,-114.255997,US,Kalispell,medium_airport,yes
FCN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,53.767689,8.659201,DE,Wurster Nordseeküste,medium_airport,yes
FCO,Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,IT,Rome,large_airport,yes
FDE,"Førde Airport, Bringeland",61.391102,5.756940,NO,Førde,small_airport,yes
FDF,Martinique Aimé Césaire International Airport,14.591000,-61.003201,MQ,Fort-de-France,large_airport,yes
FDH,Bodensee Airport Friedrichshafen,47.671299,9.511490,DE,Friedrichshafen,large_airport,yes
FDU,Bandundu Airport,-3.311320,17.381701,CD,Bandundu,medium_airport,yes
FEG,Fergana International Airport,40.358799,71.745003,UZ,Fergana,medium_airport,yes
FEN,Fernando de Noronha Airport,-3.854534,-32.423017,BR,Fernando de Noronha,medium_airport,yes
FEZ,Fes Saïss International Airport,33.927299,-4.977960,MA,Saïss,large_airport,yes
FGU,Fangatau Airport,-15.820044,-140.888071,PF,Fangatau,medium_airport,yes
FHZ,Fakahina Airport,-15.992259,-140.164246,PF,Fakahina,small_airport,yes
FIE,Fair Isle Airport,59.534721,-1.628509,GB,Fair Isle,small_airport,yes
FIH,Ndjili International Airport,-4.385750,15.444600,CD,Kinshasa,large_airport,yes
FIZ,Fitzroy Crossing Airport,-18.183596,125.559783,AU,,medium_airport,yes
FJR,Fujairah International Airport,25.108411,56.328061,AE,Fujairah,large_airport,yes
FKB,Karlsruhe Baden-Baden Airport,48.779400,8.080500,DE,Rheinmünster,large_airport,yes
FKI,Bangoka International Airport,0.481639,25.337999,CD,Kisangani,large_airport,yes
FKQ,Fakfak Airport,-2.920508,132.267011,ID,Fakfak,medium_airport,yes
FKS,Fukushima Airport,37.227402,140.431000,JP,Sukagawa,medium_airport,yes
FLA,Gustavo Artunduaga Paredes Airport,1.589190,-75.564400,CO,Florencia,medium_airport,yes
FLG,Flagstaff Pulliam Airport,35.139757,-111.669826,US,Flagstaff,medium_airport,yes
FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,US,Fort Lauderdale,large_airport,yes
FLN,Hercílio Luz International Airport,-27.670279,-48.552502,BR,Florianópolis,large_airport,yes
FLO,Florence Regional Airport,34.185398,-79.723900,US,Florence,medium_airport,yes
FLR,"Florence Airport, Peretola",43.808558,11.202822,IT,Firenze (FI),large_airport,yes
FLS,Flinders Island Airport,-40.091702,147.992996,AU,Whitemark,small_airport,yes
FLW,Flores Airport,39.455299,-31.131399,PT,Santa Cruz das Flores,medium_airport,yes
FLZ,Dr. Ferdinand Lumban Tobing Airport,1.557127,98.887145,ID,Sibolga (Pinangsori),medium_airport,yes
FMA,Formosa National Airport,-26.212700,-58.228100,AR,Formosa,medium_airport,yes
FMI,Kalemie Airport,-5.875560,29.250000,CD,Kalemie,medium_airport,yes
FMM,Memmingen Allgau Airport,47.988092,10.238248,DE,Memmingen,large_airport,yes
FMO,Münster Osnabrück Airport,52.133816,7.688482,DE,Greven,large_airport,yes
FMT,Faresmaathoda Airport,0.192647,73.196755,MV,Faresmaathodaa,small_airport,yes
FNA,Lungi International Airport,8.616440,-13.195500,SL,Freetown (Lungi-Town),large_airport,yes
FNC,Cristiano Ronaldo International Airport,32.697812,-16.774613,PT,Funchal,large_airport,yes
FND,Funadhoo Airport,6.162443,73.287520,MV,Funadhoo,small_airport,yes
FNI,Nîmes-Arles-Camargue Airport,43.757401,4.416350,FR,Nîmes/Garons,medium_airport,yes
FNJ,Pyongyang Sunan International Airport,39.224098,125.669998,KP,Pyongyang,large_airport,yes
FNT,Bishop International Airport,42.969294,-83.743355,US,Flint,medium_airport,yes
FOA,Foula Airfield,60.121916,-2.053439,GB,Foula,small_airport,yes
FOC,Fuzhou Changle International Airport,25.929254,119.672524,CN,Fuzhou (Changle),large_airport,yes
FOD,Fort Dodge Regional Airport,42.552624,-94.191237,US,Fort Dodge,medium_airport,yes
FOG,Foggia Gino Lisa Airport,41.433596,15.534566,IT,Foggia (FG),medium_airport,yes
FON,La Fortuna Arenal Airport,10.469311,-84.579073,CR,La Fortuna,medium_airport,yes
FOR,Pinto Martins International Airport,-3.775833,-38.532222,BR,Fortaleza,large_airport,yes
FPO,Grand Bahama International Airport,26.557996,-78.695583,BS,Freeport,large_airport,yes
FRA,Frankfurt Main Airport,50.026706,8.558350,DE,Frankfurt am Main,large_airport,yes
FRD,Friday Harbor Airport,48.523654,-123.024645,US,Friday Harbor,medium_airport,yes
FRE,Fera/Maringe Airport,-8.107500,159.576996,SB,Fera Island,small_airport,yes
FRL,Forlì-Luigi Ridolfi International Airport,44.194801,12.070100,IT,Forlì (FC),medium_airport,yes
FRO,Florø Airport,61.583599,5.024720,NO,Florø,medium_airport,yes
FRS,Mundo Maya International Airport,16.913707,-89.866143,GT,San Benito,medium_airport,yes
FRW,Phillip Gaonwe Matante International Airport,-21.159183,27.468826,BW,Francistown,large_airport,yes
FSC,Figari Sud-Corse Airport,41.501850,9.097092,FR,Figari,large_airport,yes
FSD,Sioux Falls Regional Airport,43.585463,-96.741152,US,Sioux Falls,medium_airport,yes
FSH,Syekh Hamzah Fansyuri Airport,2.269614,97.967863,ID,Singkil,small_airport,yes
FSM,Fort Smith Regional Airport,35.336601,-94.367401,US,Fort Smith,medium_airport,yes
FSP,Saint-Pierre Pointe-Blanche Airport,46.762651,-56.174990,PM,Saint-Pierre,medium_airport,yes
FSZ,Mount Fuji Shizuoka Airport,34.795022,138.190976,JP,Makinohara / Shimada,large_airport,yes
FTA,Futuna Airport,-19.516399,170.231995,VU,Futuna Island,small_airport,yes
FTE,El Calafate - Commander Armando Tola International Airport,-50.280267,-72.053401,AR,El Calafate,medium_airport,yes
FTI,Fitiuta Airport,-14.216131,-169.423771,AS,Fitiuta Village,small_airport,yes
FTU,Tôlanaro Airport,-25.038099,46.956100,MG,Tôlanaro,medium_airport,yes
FTW,Fort Worth Meacham International Airport,32.819919,-97.360818,US,Fort Worth,medium_airport,yes
FUE,Fuerteventura Airport,28.452700,-13.863800,ES,El Matorral,large_airport,yes
FUG,Fuyang Xiguan Airport,32.882157,115.734364,CN,"Yingzhou, Fuyang",medium_airport,yes
FUJ,Fukue Airport,32.666302,128.832993,JP,Goto,medium_airport,yes
FUK,Fukuoka Airport,33.585899,130.451004,JP,Fukuoka,large_airport,yes
FUN,Funafuti International Airport,-8.523885,179.196976,TV,Funafuti,medium_airport,yes
FUO,Foshan Shadi Airport,23.082500,113.070833,CN,Foshan (Nanhai),medium_airport,yes
FUT,Pointe Vele Airport,-14.311565,-178.066492,WF,Futuna Island,small_airport,yes
FWA,Fort Wayne International Airport,40.978896,-85.194465,US,Fort Wayne,medium_airport,yes
FYJ,Fuyuan Dongji Airport,48.197219,134.362980,CN,Fuyuan,medium_airport,yes
FYN,Fuyun Koktokay Airport,46.804169,89.512006,CN,Fuyun,medium_airport,yes
FYU,Fort Yukon Airport,66.571651,-145.249987,US,Fort Yukon,medium_airport,yes
GAJ,Yamagata Airport,38.411900,140.371002,JP,Higashine,medium_airport,yes
GAL,Edward G. Pitka Sr Airport,64.736198,-156.936997,US,Galena,medium_airport,yes
GAM,Gambell Airport,63.767694,-171.733303,US,Gambell,medium_airport,yes
GAN,Gan International Airport,-0.692975,73.152627,MV,Gan,large_airport,yes
GAQ,Gao International Airport,16.248466,-0.005389,ML,Gao,medium_airport,yes
GAU,Lokpriya Gopinath Bordoloi International Airport,26.106654,91.585226,IN,Guwahati,large_airport,yes
GAX,Gamba Airport,-2.785278,10.047222,GA,Gamba,small_airport,yes
GAY,Gaya Airport,24.744301,84.951202,IN,Gaya,medium_airport,yes
GBB,Gabala International Airport,40.808617,47.725389,AZ,Gabala,medium_airport,yes
GBE,Sir Seretse Khama International Airport,-24.555201,25.918200,BW,Gaborone,large_airport,yes
GBI,Kalaburagi Airport,17.308154,76.965246,IN,Kalaburagi,small_airport,yes
GBJ,Marie-Galante Airport,15.868925,-61.270087,GP,Grand-Bourg,medium_airport,yes
GBZ,Great Barrier Aerodrome,-36.241402,175.472000,NZ,Claris,small_airport,yes
GCC,Northeast Wyoming Regional Airport,44.348900,-105.539001,US,Gillette,medium_airport,yes
GCH,Gachsaran Airport,30.333869,50.833796,IR,Gachsaran,medium_airport,yes
GCI,Guernsey Airport,49.435001,-2.601970,GG,Saint Peter Port,medium_airport,yes
GCK,Garden City Regional Airport,37.927502,-100.723999,US,Garden City,medium_airport,yes
GCM,Owen Roberts International Airport,19.292801,-81.357697,KY,George Town,large_airport,yes
GCN,Grand Canyon National Park Airport,35.952400,-112.147003,US,Grand Canyon - Tusayan,medium_airport,yes
GDB,Gondia Airport,21.526817,80.290347,IN,Gondia,medium_airport,yes
GDE,Gode Airport,5.935130,43.578602,ET,Gode,medium_airport,yes
GDL,Guadalajara International Airport,20.523342,-103.310108,MX,Guadalajara,large_airport,yes
GDN,Gdańsk Lech Wałęsa Airport,54.377602,18.466200,PL,Gdańsk,large_airport,yes
GDQ,Gondar Airport,12.519900,37.433998,ET,Azezo,medium_airport,yes
GDT,JAGS McCartney International Airport,21.444500,-71.142303,TC,Cockburn Town,medium_airport,yes
GDV,Dawson Community Airport,47.137658,-104.806910,US,Glendive,medium_airport,yes
GDX,Sokol Airport,59.910999,150.720001,RU,Magadan,medium_airport,yes
GDZ,Gelendzhik Airport,44.582093,38.012481,RU,Gelendzhik,medium_airport,yes
GEA,Nouméa Magenta Airport,-22.257706,166.472822,NC,Nouméa,medium_airport,yes
GEG,Spokane International Airport,47.619900,-117.533997,US,Spokane,large_airport,yes
GEL,Santo Ângelo Airport,-28.282503,-54.169623,BR,Santo Ângelo,medium_airport,yes
GEM,President Obiang Nguema International Airport,1.676437,11.024904,GQ,Mengomeyén,medium_airport,yes
GEO,Cheddi Jagan International Airport,6.498550,-58.254101,GY,Georgetown,large_airport,yes
GER,Rafael Cabrera Airport,21.834700,-82.783798,CU,Nueva Gerona,medium_airport,yes
GES,General Santos International Airport,6.057208,125.096243,PH,General Santos,large_airport,yes
GET,Geraldton Airport,-28.796101,114.707001,AU,Moonyoonooka,medium_airport,yes
GEV,Gällivare Airport,67.132401,20.814600,SE,Gällivare,medium_airport,yes
GFF,Griffith Airport,-34.250801,146.067001,AU,Griffith,medium_airport,yes
GFK,Grand Forks International Airport,47.949299,-97.176102,US,Grand Forks,medium_airport,yes
GGF,Almeirim Airport,-1.479524,-52.578214,BR,Almeirim,small_airport,yes
GGG,East Texas Regional Airport,32.383999,-94.711502,US,Longview,medium_airport,yes
GGJ,Guaíra Airport,-24.081100,-54.191700,BR,Guaíra,small_airport,yes
GGR,Garowe Airport,8.458474,48.568136,SO,Garowe,small_airport,yes
GGS,Gobernador Gregores Airport,-48.783100,-70.150002,AR,Gobernador Gregores,small_airport,yes
GGT,Exuma International Airport,23.562599,-75.877998,BS,Moss Town,medium_airport,yes
GGW,Glasgow Valley County Airport Wokal Field,48.212502,-106.614998,US,Glasgow,medium_airport,yes
GHA,Noumérat - Moufdi Zakaria Airport,32.384102,3.794110,DZ,El Atteuf,medium_airport,yes
GHB,Governor's Harbour Airport,25.284700,-76.331001,BS,Governor's Harbour,medium_airport,yes
GHV,Brașov-Ghimbav International Airport,45.705580,25.522871,RO,Brașov (Ghimbav),large_airport,yes
GIB,Gibraltar Airport,36.151679,-5.349780,GI,Gibraltar,large_airport,yes
GIC,Boigu Island Airport,-9.232780,142.218002,AU,Boigu Island,small_airport,yes
GID,Gitega Airport,-3.417209,29.911308,BI,Gitega,medium_airport,yes
GIG,Rio Galeão – Tom Jobim International Airport,-22.809999,-43.250557,BR,Rio De Janeiro,large_airport,yes
GIL,Gilgit Airport,35.918800,74.333603,PK,Gilgit,medium_airport,yes
GIS,Gisborne Airport,-38.663300,177.977997,NZ,Gisborne,medium_airport,yes
GIZ,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,16.901100,42.585800,SA,Jizan,medium_airport,yes
GJA,La Laguna Airport,16.445400,-85.906601,HN,Guanaja,medium_airport,yes
GJL,Jijel Ferhat Abbas Airport,36.794125,5.873652,DZ,Tahir,large_airport,yes
GJT,Grand Junction Regional Airport,39.126663,-108.529387,US,Grand Junction,medium_airport,yes
GKA,Goroka Airport,-6.081690,145.391998,PG,Goronka,medium_airport,yes
GKK,Kooddoo Airport,0.732400,73.433600,MV,Huvadhu Atoll,small_airport,yes
GKN,Gulkana Airport,62.155859,-145.454662,US,Gulkana,medium_airport,yes
GLA,Glasgow Airport,55.871899,-4.433060,GB,Glasgow,large_airport,yes
GLF,Golfito Airport,8.654010,-83.182198,CR,Golfito,medium_airport,yes
GLH,Mid Delta Regional Airport,33.482899,-90.985603,US,Greenville,medium_airport,yes
GLK,Galcaio Airport,6.780830,47.454700,SO,Galcaio,small_airport,yes
GLT,Gladstone Airport,-23.869763,151.225439,AU,Gladstone,medium_airport,yes
GLV,Golovin Airport,64.550499,-163.007004,US,Golovin,small_airport,yes
GMA,Gemena Airport,3.235370,19.771299,CD,Gemena,medium_airport,yes
GMB,Gambela Airport,8.128760,34.563099,ET,Gambela,medium_airport,yes
GME,Gomel Airport,52.527000,31.016701,BY,Gomel,medium_airport,yes
GMI,Gasmata Island Airport,-6.271110,150.330994,PG,Gasmata Island,small_airport,yes
GMO,Gombe Lawanti International Airport,10.298889,10.900000,NG,Gombe,medium_airport,yes
GMP,Seoul Gimpo International Airport,37.558300,126.791000,KR,Seoul,large_airport,yes
GMQ,Golog Maqên Airport,34.418066,100.301144,CN,Golog (Maqên),medium_airport,yes
GMR,Totegegie Airport,-23.079901,-134.889999,PF,,medium_airport,yes
GMZ,La Gomera Airport,28.029600,-17.214600,ES,"Alajero, La Gomera Island",small_airport,yes
GNB,Grenoble Alpes Isère Airport,45.362900,5.329370,FR,Grenoble,medium_airport,yes
GND,Maurice Bishop International Airport,12.003996,-61.785302,GD,Saint George's,large_airport,yes
GNJ,Ganja International Airport,40.738692,46.320383,AZ,Ganja,large_airport,yes
GNS,Binaka Airport,1.166275,97.705196,ID,Gunungsitoli,medium_airport,yes
GNU,Goodnews Airport,59.117561,-161.575241,US,Goodnews,small_airport,yes
GNV,Gainesville Regional Airport,29.690100,-82.271797,US,Gainesville,medium_airport,yes
GNY,Şanlıurfa GAP Airport,37.445663,38.895592,TR,Şanlıurfa,large_airport,yes
GOA,Genoa Cristoforo Colombo Airport,44.412039,8.840732,IT,Genova (GE),large_airport,yes
GOH,Nuuk International Airport,64.191066,-51.679140,GL,Nuuk,large_airport,yes
GOI,Goa Dabolim International Airport,15.380062,73.833328,IN,Vasco da Gama,large_airport,yes
GOJ,Nizhny Novgorod / Strigino International Airport,56.227351,43.785152,RU,Nizhny Novgorod,large_airport,yes
GOM,Goma International Airport,-1.666758,29.238037,CD,Goma,large_airport,yes
GOP,Gorakhpur Airport,26.739700,83.449699,IN,Gorakhpur,medium_airport,yes
GOQ,Golmud Airport,36.400600,94.786102,CN,Golmud,medium_airport,yes
GOT,Göteborg Landvetter Airport,57.662800,12.279800,SE,Göteborg,large_airport,yes
GOU,Garoua International Airport,9.334785,13.372129,CM,Garoua,large_airport,yes
GOV,Gove Airport,-12.269400,136.817993,AU,Nhulunbuy,medium_airport,yes
GOX,Manohar International Airport,15.744257,73.860625,IN,Mopa,large_airport,yes
GOY,Tura Mountain Airport,64.333511,100.432892,RU,Tura,small_airport,yes
GPA,Patras Araxos Agamemnon Airport,38.151100,21.425600,GR,Patras,medium_airport,yes
GPI,Guapi Airport,2.570130,-77.897969,CO,Guapi,medium_airport,yes
GPS,Seymour Galapagos Ecological Airport,-0.453758,-90.265900,EC,Isla Baltra,medium_airport,yes
GPT,Gulfport Biloxi International Airport,30.405582,-89.069836,US,Gulfport,medium_airport,yes
GRB,Austin Straubel International Airport,44.483459,-88.130805,US,Green Bay,medium_airport,yes
GRI,Central Nebraska Regional Airport,40.967499,-98.309601,US,Grand Island,medium_airport,yes
GRJ,George Airport,-34.005600,22.378902,ZA,George,large_airport,yes
GRK,Killeen Regional Airport / Robert Gray Army Airfield,31.067200,-97.828903,US,Fort Cavazos,medium_airport,yes
GRO,Girona-Costa Brava Airport,41.904639,2.761774,ES,Girona,large_airport,yes
GRQ,Groningen Airport Eelde,53.119107,6.577652,NL,Groningen,large_airport,yes
GRR,Gerald R. Ford International Airport,42.880798,-85.522797,US,Grand Rapids,large_airport,yes
GRU,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,-23.431274,-46.469954,BR,São Paulo,large_airport,yes
GRV,Akhmat Kadyrov Grozny International Airport,43.388106,45.699772,RU,Grozny,large_airport,yes
GRW,Graciosa Airport,39.092201,-28.029800,PT,Santa Cruz da Graciosa,medium_airport,yes
GRX,F.G.L. Airport Granada-Jaén Airport,37.188702,-3.777360,ES,Granada,medium_airport,yes
GRY,Grímsey Airport,66.545800,-18.017300,IS,Grímsey/Sandvík,medium_airport,yes
GRZ,Graz Airport,46.991100,15.439600,AT,Feldkirchen bei Graz,large_airport,yes
GSM,Qeshm International Airport,26.754639,55.902353,IR,Qeshm(Dayrestan),large_airport,yes
GSO,Piedmont Triad International Airport,36.099370,-79.937262,US,Greensboro,large_airport,yes
GSP,Greenville-Spartanburg International Airport,34.895699,-82.218903,US,Greenville/Greer/Spartanburg,medium_airport,yes
GST,Gustavus Airport,58.425301,-135.707001,US,Gustavus,medium_airport,yes
GSV,Gagarin International Airport,51.712778,46.171111,RU,Saratov,large_airport,yes
GTA,Gatokae Aerodrome,-8.738358,158.202836,SB,Gatokae,small_airport,yes
GTE,Groote Eylandt Airport,-13.972405,136.458553,AU,Groote Eylandt,medium_airport,yes
GTF,Great Falls International Airport,47.481998,-111.371002,US,Great Falls,medium_airport,yes
GTO,Jalaluddin Airport,0.637119,122.849998,ID,Gorontalo,small_airport,yes
GTR,Golden Triangle Regional Airport,33.450298,-88.591400,US,Columbus/W Point/Starkville,medium_airport,yes
GUA,La Aurora International Airport,14.582896,-90.527515,GT,Guatemala City,large_airport,yes
GUB,Guerrero Negro Airport,28.026100,-114.024002,MX,San Quintín,small_airport,yes
GUC,Gunnison Crested Butte Regional Airport,38.534672,-106.934566,US,Gunnison,medium_airport,yes
GUM,Antonio B. Won Pat International Airport,13.485000,144.797282,GU,Hagåtña,large_airport,yes
GUP,Gallup Municipal Airport,35.511653,-108.788166,US,Gallup,medium_airport,yes
GUR,Gurney Airport,-10.311500,150.334000,PG,Gurney,medium_airport,yes
GUW,Atyrau International Airport,47.121318,51.820343,KZ,Atyrau,large_airport,yes
GUZ,Guarapari Airport,-20.646500,-40.491901,BR,Guarapari,small_airport,yes
GVA,Geneva International Airport,46.238098,6.108950,CH,Geneva,large_airport,yes
GVR,Coronel Altino Machado Airport,-18.895882,-41.982869,BR,Governador Valadares,medium_airport,yes
GWD,New Gwadar International Airport,25.296733,62.498822,PK,Gurandani,large_airport,yes
GWL,Gwalior Airport,26.293301,78.227798,IN,Gwalior,medium_airport,yes
GWT,Westerland Sylt Airport,54.913200,8.340470,DE,Sylt,medium_airport,yes
GXF,Seiyun Hadhramaut International Airport,15.965887,48.788146,YE,Seiyun,large_airport,yes
GXG,Negage Airport,-7.754510,15.287700,AO,Negage,medium_airport,yes
GXH,Gannan Xiahe Airport,34.819014,102.622261,CN,Gannan (Xiahe),medium_airport,yes
GYA,Guayaramerín Airport,-10.888560,-65.380955,BO,Guayaramerín,medium_airport,yes
