# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 6f53c942a634cd28729b86faad146a950ebd5d0fa6c6b28a45c3ede1acecb565
# retrieved: 2026-08-24T22:47:57Z
iata,name,latitude_deg,longitude_deg,iso_country,municipality,type,scheduled_service
AGJ,Aguni Airport,26.592755,127.240335,JP,Aguni,small_airport,yes
AGP,Málaga-Costa del Sol Airport,36.674900,-4.499110,ES,Málaga,large_airport,yes
AGR,Agra Airport / Agra Air Force Station,27.157975,77.961025,IN,Agra,medium_airport,yes
AGS,Augusta Regional At Bush Field,33.369900,-81.964500,US,Augusta,medium_airport,yes
AGT,Guaraní International Airport,-25.457186,-54.839544,PY,Ciudad del Este,large_airport,yes
AGU,Aguascalientes International Airport,21.699589,-102.318372,MX,Aguascalientes,large_airport,yes
AGX,Agatti Airport,10.823700,72.176003,IN,Agatti,medium_airport,yes
AHA,Maa Mahamaya Airport,22.987530,83.196120,IN,Ambikapur,medium_airport,yes
AHB,Abha International Airport,18.240400,42.656601,SA,Abha,large_airport,yes
AHE,Ahe Airport,-14.428100,-146.257004,PF,Ahe Atoll,medium_airport,yes
AHO,Alghero-Fertilia Airport,40.632099,8.290770,IT,Alghero,medium_airport,yes
AHU,Cherif Al Idrissi Airport,35.177101,-3.839520,MA,Al Hoceima,medium_airport,yes
AIA,Alliance Municipal Airport,42.052543,-102.803965,US,Alliance,medium_airport,yes
AIN,Wainwright Airport,70.638000,-159.994995,US,Wainwright,medium_airport,yes
AIP,Adampur Airport,31.433800,75.758797,IN,Adampur,small_airport,yes
AIT,Aitutaki Airport,-18.830900,-159.764008,CK,Aitutaki,small_airport,yes
AIU,Enua Airport,-19.967800,-158.119003,CK,Atiu Island,small_airport,yes
AJA,Ajaccio Napoléon Bonaparte airport,41.923599,8.802920,FR,Ajaccio,medium_airport,yes
AJF,Al-Jawf International Airport,29.783301,40.100905,SA,Al-Jawf,large_airport,yes
AJI,Ağrı Airport,39.655642,43.025742,TR,Ağrı,medium_airport,yes
AJL,Lengpui Airport,23.840599,92.619698,IN,Aizawl (Lengpui),medium_airport,yes
AJN,Ouani Airport,-12.131047,44.430044,KM,Ouani,medium_airport,yes
AJR,Arvidsjaur Airport,65.590302,19.281900,SE,Arvidsjaur,medium_airport,yes
AJU,Aracaju - Santa Maria Airport,-10.983940,-37.072873,BR,Aracaju,medium_airport,yes
AKA,Ankang Fuqiang Airport,32.756960,108.873380,CN,Ankang (Hanbin),small_airport,yes
AKB,Atka Airport,52.220299,-174.205994,US,Atka,small_airport,yes
AKF,Kufra Airport,24.178699,23.313999,LY,Kufra,medium_airport,yes
AKI,Akiak Airport,60.902646,-161.231060,US,Akiak,small_airport,yes
AKJ,Asahikawa Airport,43.670799,142.447006,JP,Higashikagura,medium_airport,yes
AKK,Akhiok Airport,56.938702,-154.182999,US,Akhiok,small_airport,yes
AKL,Auckland International Airport,-37.011990,174.786331,NZ,Auckland,large_airport,yes
AKN,King Salmon Airport,58.677845,-156.651965,US,King Salmon,medium_airport,yes
AKP,Anaktuvuk Pass Airport,68.133598,-151.742996,US,Anaktuvuk Pass,medium_airport,yes
AKR,Akure Airport,7.246740,5.301010,NG,Akure,medium_airport,yes
AKS,Gwaunaru'u Airport,-8.702570,160.682007,SB,Auki,small_airport,yes
AKU,Aksu Hongqipo Airport,41.262501,80.291702,CN,Aksu (Onsu),medium_airport,yes
AKV,Akulivik Airport,60.818600,-78.148598,CA,Akulivik,small_airport,yes
AKX,Aktobe International Airport,50.248116,57.204144,KZ,Aktobe,large_airport,yes
AKY,Sittwe Airport,20.133165,92.870693,MM,Sittwe,medium_airport,yes
ALA,Almaty International Airport,43.354267,77.042828,KZ,Almaty,large_airport,yes
ALB,Albany International Airport,42.748299,-73.801697,US,Albany,large_airport,yes
ALC,Alicante-Elche Miguel Hernández Airport,38.282200,-0.558156,ES,Alicante,large_airport,yes
ALF,Alta Airport,69.976097,23.371700,NO,Alta,medium_airport,yes
ALG,Houari Boumediene Airport,36.693886,3.214531,DZ,Algiers,large_airport,yes
ALH,Albany Airport,-34.943333,117.808889,AU,Albany,medium_airport,yes
ALO,Waterloo Regional Airport,42.557098,-92.400299,US,Waterloo,medium_airport,yes
ALP,Aleppo International Airport,36.181262,37.226869,SY,Aleppo,large_airport,yes
ALS,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,US,Alamosa,medium_airport,yes
ALW,Walla Walla Regional Airport,46.094898,-118.288002,US,Walla Walla,medium_airport,yes
AMA,Rick Husband Amarillo International Airport,35.217857,-101.706444,US,Amarillo,medium_airport,yes
AMD,Sardar Vallabh Patel International Airport,23.077200,72.634697,IN,Ahmedabad,large_airport,yes
AMH,Arba Minch Airport,6.039390,37.590500,ET,Arba Minch,medium_airport,yes
AMM,Queen Alia International Airport,31.722601,35.993198,JO,Amman,large_airport,yes
AMQ,Pattimura International Airport,-3.710260,128.089005,ID,Ambon,large_airport,yes
AMS,Amsterdam Airport Schiphol,52.308601,4.763890,NL,Amsterdam,large_airport,yes
AMV,Amderma Airport,69.763298,61.556400,RU,Amderma,medium_airport,yes
ANC,Ted Stevens Anchorage International Airport,61.179004,-149.992561,US,Anchorage,large_airport,yes
