# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 2a5f05d4e2e9c6190ef6c6d28ff9f032d06d6e15c8d1d03d429d0cb72dda5140
# retrieved: 2026-08-21T03:15:49Z
iata,ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region,municipality,scheduled_service
ACF,ZWAL,small_airport,Aral Tarim Airport,40.434748,81.262060,CN,CN-65,Aral,yes
ACH,LSZR,medium_airport,Sankt Gallen Altenrhein Airport,47.485001,9.560770,CH,CH-SG,St. Gallen,yes
ACI,EGJA,medium_airport,Alderney Airport,49.706104,-2.214720,GG,GG-A,Saint Anne,yes
ACJ,VCCA,medium_airport,Anuradhapura Airport,8.301542,80.428480,LK,LK-7,Anuradhapura,no
ACK,KACK,medium_airport,Nantucket Memorial Airport,41.253101,-70.060204,US,US-MA,Nantucket,yes
ACM,ACM,small_airport,Arica Airport,-2.143713,-71.759350,CO,CO-AMA,Arica,no
ACN,MMCC,medium_airport,Ciudad Acuña International Airport,29.333662,-101.100555,MX,MX-COA,Ciudad Acuña,no
ACO,CR-0006,small_airport,Cóbano Airport,9.693365,-85.091216,CR,CR-P,Cóbano,no
ACP,OITM,small_airport,Sahand Airport,37.348000,46.127899,IR,IR-03,Maragheh,no
ACR,SKAC,small_airport,Araracuara Airport,-0.600854,-72.398011,CO,CO-CAQ,Araracuara,no
ACS,UNKS,medium_airport,Achinsk Airport,56.269185,90.575110,RU,RU-KYA,Achinsk,no
ACT,KACT,medium_airport,Waco Regional Airport,31.611300,-97.230499,US,US-TX,Waco,yes
ACU,PA-0001,small_airport,Achutupu Airport,9.188481,-77.994153,PA,PA-GY,Mamitupu,no
ACV,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109000,US,US-CA,Arcata/Eureka,yes
ACX,ZUYI,medium_airport,Xingyi Wanfenglin Airport,25.083423,104.960804,CN,CN-52,Xingyi,yes
ACY,KACY,medium_airport,Atlantic City International Airport,39.456201,-74.577511,US,US-NJ,Atlantic City,yes
ACZ,OIZB,medium_airport,Zabol Airport,31.098301,61.543900,IR,IR-11,Zabol,no
ADA,LTAF,small_airport,Adana Şakirpaşa Airport,36.982201,35.280399,TR,TR-01,Seyhan,no
ADB,LTBJ,large_airport,Adnan Menderes International Airport,38.292400,27.157000,TR,TR-35,Gaziemir,yes
ADC,AYAN,small_airport,Andakombe Airport,-7.137222,145.744722,PG,PG-EHG,Andekombe,no
ADD,HAAB,large_airport,Addis Ababa Bole International Airport,8.977890,38.799301,ET,ET-AA,Addis Ababa,yes
ADE,OYAA,large_airport,Aden International Airport,12.829564,45.029976,YE,YE-AD,Aden,yes
ADF,LTCP,medium_airport,Adıyaman Airport,37.731400,38.468899,TR,TR-02,Adıyaman,yes
ADG,KADG,small_airport,Lenawee County Airport,41.866205,-84.077983,US,US-MI,Adrian,no
ADH,UEEA,small_airport,Aldan Airport,58.602798,125.408997,RU,RU-SA,Aldan,no
ADI,FYAR,medium_airport,Arandis Airport,-22.461875,14.979322,NA,NA-ER,Arandis,no
ADJ,OJAM,large_airport,Marka International (Amman Civil) Airport,31.972700,35.991600,JO,JO-AM,Amman,yes
ADK,PADK,medium_airport,Adak Airport,51.883564,-176.642783,US,US-AK,Adak,yes
ADL,YPAD,large_airport,Adelaide International Airport,-34.947512,138.533393,AU,AU-SA,Adelaide,yes
ADM,KADM,small_airport,Ardmore Municipal Airport,34.303010,-97.019634,US,US-OK,Ardmore,no
ADO,YAMK,small_airport,Andamooka Airport,-30.438299,137.136993,AU,AU-SA,Andamooka,no
ADP,VCCG,medium_airport,Ampara Airport,7.336745,81.623869,LK,LK-5,Ampara,no
ADQ,PADQ,medium_airport,Kodiak Airport,57.750000,-152.494003,US,US-AK,Kodiak,yes
ADR,KPHH,small_airport,Robert F Swinnie Airport,33.451698,-79.526199,US,US-SC,Andrews,no
ADS,KADS,small_airport,Addison Airport,32.968601,-96.836403,US,US-TX,Dallas,no
ADT,KADH,medium_airport,Ada Regional Airport,34.805214,-96.671988,US,US-OK,Ada,no
